100 100
 -27 17 35
 1 -71 -14
 -29 -84 -53
 -94 -39 89
 67 33 -31
 68 -50 47
 12 -45 -66
 17 32 3
 17 100 80
 2 11 21
 -37 -87 -98
 4 28 92
 -33 -25 6
 30 -33 -79
 60 61 -93
 28 -62 -22
 84 -30 -76
 -59 -94 28
 -77 6 -77
 7 -8 80
 -55 -51 -7
 96 -74 -95
 87 15 81
 34 23 -83
 -98 95 59
 91 26 -10
 -48 54 12
 71 40 -67
 -23 100 -78
 48 88 50
 -4 -55 49
 -30 -15 50
 42 -18 75
 -92 -73 -70
 -57 99 81
 -14 72 34
 56 12 92
 59 10 -44
 42 27 52
 44 -49 -57
 68 11 -23
 -78 41 36
 85 -67 -53
 47 82 12
 -71 -61 40
 51 1 8
 70 70 51
 -63 12 -15
 -29 60 24
 -24 19 57
 -62 53 41
 88 60 95
 3 -10 -83
 54 -69 -40
 -80 25 -43
 9 -57 22
 77 -65 81
 -32 -31 -38
 -40 -75 -82
 82 -51 59
 -85 -67 48
 37 25 -53
 -87 10 50
 -11 15 50
 -68 9 91
 -18 1 36
 -48 -23 -75
 -12 -6 26
 38 -32 -58
 -74 -72 -75
 79 79 -14
 -27 -90 -90
 13 71 63
 39 -36 89
 81 63 79
 -59 -83 -37
 -71 -49 -24
 11 95 -24
 -62 -11 -36
 -90 -69 -90
 29 49 46
 100 -18 -18
 -33 21 -49
 65 76 -98
 12 -92 -75
 -42 -83 12
 78 58 -38
 19 -73 -1
 65 -75 -89
 -71 40 -93
 7 -21 -5
 -96 -89 -31
 -44 -46 -53
 -40 -67 -76
 -15 61 -39
 11 67 -40
 -16 49 82
 -93 17 10
 -66 -56 73
 87 -23 -67
